Transaction ID;Timestamp;Transaction Type;In/Out;Amount Fiat;Fiat;Amount Asset;Asset;Asset market price;Asset market price currency;Asset class;Product ID;Fee;Fee asset;Spread;Spread Currency;Tax Fiat
T1ee4cdab-2d55-6150-cf63-d4528b3e9f08;2023-09-06T19:27:55+02:00;buy;outgoing;5.00;EUR;0.00020590;BTC;24283.63;EUR;Cryptocurrency;1;-;-;-;-;0.00
T1ee7ae89-fe09-6140-93ff-a8aa397605d5;2023-11-04T09:03:25+01:00;buy;outgoing;11.00;EUR;0.00033358;BTC;32975.60;EUR;Cryptocurrency;1;-;-;-;-;0.00
T1ee8fc90-0fa0-6d90-4c5a-d0fc4eee76bb;2023-11-30T22:40:03+01:00;buy;outgoing;2.04;EUR;0.80755553;ETHW;2.53;EUR;Cryptocurrency;2715;-;-;-;-;0.00
T1ee944b2-181d-6940-e12a-ab4cb11c2512;2023-12-06T16:21:34+01:00;buy;outgoing;1.00;EUR;1.68228698;XRP;0.59;EUR;Cryptocurrency;8;-;-;-;-;0.00
T1ee944b7-a0a5-66a0-71a1-6508d64e2964;2023-12-06T16:24:04+01:00;sell;incoming;1.00;EUR;0.00002496;BTC;40064.10;EUR;Cryptocurrency;1;-;-;-;-;0.00
T1ee944bd-ae56-69b0-878d-3e5635fe4b3c;2023-12-06T16:26:43+01:00;buy;outgoing;1.00;EUR;0.01665989;SOL;60.02;EUR;Cryptocurrency;135;-;-;-;-;0.00
T1ee9d024-0ab0-67f0-b87d-0aeee2b215f1;2023-12-17T18:32:33+01:00;sell;incoming;9.51;EUR;0.00024929;BTC;38148.34;EUR;Cryptocurrency;1;-;-;-;-;0.00
T1ee9d028-4761-6290-cd24-8d3fee2e4ca9;2023-12-17T18:34:25+01:00;buy;outgoing;5.00;EUR;0.07184786;SOL;69.59;EUR;Cryptocurrency;135;-;-;-;-;0.00
T1eea0125-8874-66a0-2b55-be32b4c6ccbb;2023-12-21T16:05:17+01:00;buy;outgoing;1.00;EUR;1.79363620;ADA;0.56;EUR;Cryptocurrency;22;-;-;-;-;0.00
T1eea0126-bdbd-6a90-32c3-252fea29d3d3;2023-12-21T16:05:49+01:00;buy;outgoing;1.00;EUR;11.73553410;DOGE;0.09;EUR;Cryptocurrency;38;-;-;-;-;0.00
T1eea5746-8e21-6360-59b8-593935d9b4fa;2023-12-28T12:29:50+01:00;buy;outgoing;3.00;EUR;0.03078627;SOL;97.45;EUR;Cryptocurrency;135;-;-;-;-;0.00
T1eeac178-5840-60b0-1b09-9847cc5e88a4;2024-01-05T23:13:02+01:00;buy;outgoing;2.28;EUR;0.85524356;ETHW;2.67;EUR;Cryptocurrency;2715;-;-;-;-;0.00
T1eeaee59-360e-6a10-f3c2-9844cc318539;2024-01-09T12:52:35+01:00;buy;outgoing;25.00;EUR;46.64375600;XRP;0.54;EUR;Cryptocurrency;8;-;-;-;-;0.00
T1eeaee5c-0166-6120-a99a-fead16bf40cf;2024-01-09T12:53:50+01:00;buy;outgoing;25.00;EUR;0.25964863;SOL;96.28;EUR;Cryptocurrency;135;-;-;-;-;0.00
T1eeaee5f-a6fa-6a70-3279-9aff7bcfd19e;2024-01-09T12:55:30+01:00;buy;outgoing;50.00;EUR;19.40617801;ETHW;2.58;EUR;Cryptocurrency;2715;-;-;-;-;0.00
T1eeaee60-e8a7-6490-5ab5-439454daadac;2024-01-09T12:56:06+01:00;buy;outgoing;25.00;EUR;335.70461646;DOGE;0.07;EUR;Cryptocurrency;38;-;-;-;-;0.00
T1eeaee62-2847-6040-6d20-369d7bbd2aef;2024-01-09T12:56:35+01:00;buy;outgoing;25.00;EUR;50.86844543;ADA;0.49;EUR;Cryptocurrency;22;-;-;-;-;0.00
T1eeb538a-05d5-6010-c1a3-c4a6c5f29dd9;2024-01-17T14:02:17+01:00;buy;outgoing;50.00;EUR;0.02072999;ETH;2411.96;EUR;Cryptocurrency;5;-;-;-;-;0.00
T1eeb69c4-fc0e-68a0-f37f-076d7ad91bdb;2024-01-19T08:28:20+01:00;sell;incoming;51.46;EUR;21.06897710;ETHW;2.44;EUR;Cryptocurrency;2715;-;-;-;-;0.00
T1eeb69c6-ad96-66d0-ceae-1a0a1ef6a200;2024-01-19T08:29:07+01:00;buy;outgoing;30.00;EUR;423.47670137;HBAR;0.07;EUR;Cryptocurrency;62;-;-;-;-;0.00
T1eeb79c5-db4d-6f60-c5f1-2a12af17e099;2024-01-20T15:01:13+01:00;buy;outgoing;10.00;EUR;0.11511170;SOL;86.87;EUR;Cryptocurrency;135;-;-;-;-;0.00
